id,category,name,weight,price,description
1,Guns,.22LR round, 0.0076, 1,"The .22LR is a very low powered round, especially when compared to the more common 5.56mm, .308, .44 or .45 Auto cartridges that are also used in the post-War world. The .22LR was used as a commercial small game hunting round, but wasn't as common on the East Coast as the .32. It has a self-contained ""rimfire"" primer and thus cannot be broken down to gain small pistol primers, nor can it be crafted."
2,Guns,.308 round, 0.055, 4,"The .308 round is the same as the Fallout 3 version and is still used by the sniper rifle and now the hunting rifle. However, the world model for the round was changed from a metal ammunition box to a cardboard box."
3,Guns,.357 Magnum round, 0.035, 2,"The .357 Magnum round, a Magnum handgun cartridge manufactured by Big Chief, has a significant powder load making it a very powerful cartridge for a pistol round, and acceptable for use in carbine length lever-action rifles."
4,Guns,.44 Magnum round, 0.043, 3,"The .44 Magnum round is a high powered Magnum pistol cartridge derived from the .44 special pistol round. The round was originally developed for revolvers, but with its high velocity and heavy bullet, manufacturers quickly developed lever-action rifles and carbines chambered in .44 Magnum. Ancient as it is, .44 Magnum still delivers quite a punch and proves to be quite effective in the field."
5,Guns,.45 Auto, 0.065, 3,"The .45 Auto round is manufactured by Union Cartridge, and is a large caliber auto-pistol cartridge for pistols and some submachine guns. After the completion of Honest Hearts, the ammunition type will also begin appearing in the main game."
6,Guns,.45-70 Gov't, 0.065, 4,"A powerful, .45 caliber, late 19th century era black powder rifle round, .45-70 Gov't (Government) rounds are one of the rarer types of ammunition found in the Mojave Wasteland. However, especially at higher levels, they can be bought in decent quantities from some merchants."
7,Guns,.50 MG, 0.25, 6,"The .50 MG is a large caliber heavy machine gun and long-range anti-materiel rifle round. It is the largest, most expensive, and heaviest conventional Guns ammunition in the game. The only weapons using it are the anti-materiel rifle and the GRA anti-materiel rifle. It has a weight of 0.25 pounds per round in Hardcore mode, the same weight as a 25mm grenade."
8,Guns,5mm round, 0.017, 1,"The 5mm round is a small caliber high velocity rifle cartridge. It is commonly belt-fed, and is available in rather high quantities, something made necessary by the notably large ""magazine"" sizes on the weapons that use it. For example, the minigun loads 240 rounds at one time and fires an exceptional rate, requiring that the player carries a huge supply if they intend to rely on miniguns. As of patch 1.3.0.452, standard and surplus 5mm rounds have a -10 DT effect."
9,Guns,5.56mm round, 0.026, 2,"The 5.56mm round, a high-velocity small-caliber rifle cartridge, is a general-purpose round for all guns, spanning the entire game's arsenal, from the early varmint rifle to the light machine gun. 5.56mm is common, light, cheap, easy to make, and is considered one of two ""small rifle"" cartridges, the other being 5mm."
10,Guns,9mm round, 0.029, 1,"The 9mm is a medium caliber auto-pistol round, suitable for use in handguns and submachine guns. While significantly rarer in more northern places of the United States, the southern states of Nevada and Arizona do enjoy widespread use of 9mm chambered weapons, compared to the more powerful and popular but expensive 10mm round firearms."
