id,name,ammo,category,weight,price,description
1,.357 Magnum revolver,3,1, 2, 110,"The .357 Magnum revolver is a single action, fixed-cylinder revolver that fires .357 Magnum and .38 special rounds. It has an average firing rate but makes up for it with a somewhat more powerful damage output. Its fixed cylinder is reloaded by hand one round at a time through the loading gate, as such it can be interrupted mid-way through reloading and fired if needed. "
2,Lucky,3,1, 2.5, 1500,"Lucky is a unique version of the standard .357 Magnum revolver. It deals moderate damage and has a high fire-rate and Critical Chance and uses a low amount of Action Points. The barrel, frame and cylinder are made of a smooth black metal decorated with ornate gold etchings, and the polished ivory handle is inlaid with the clubs symbol. The word ""Lucky"" is engraved on the silver plate on the ejector tube."
3,.44 Magnum revolver,4,1, 3.5, 2500,"The .44 Magnum revolver is a double action, swing-out cylinder revolver, with a high damage output for a one-handed gun, but its ammunition is slightly rarer in the wasteland. Additionally, the .44 Magnum fires and reloads quickly, due to its speed-loader and ejector rod. It is, however, somewhat inaccurate with a spread of 0.7, on the high end of one-handed guns. It also has luminescent iron-sights. The .44 Magnum revolver is a very durable weapon that can be concealed with a Sneak skill of 50 or greater, as it is considered an improved holdout weapon."
4,Mysterious Magnum,4,1, 4, 3200,"The Mysterious Magnum is a .44 Magnum revolver that plays the Mysterious Stranger's theme whenever it is drawn or holstered. This revolver features a silver finish with intricate engravings etched all around the weapon, a pearlescent grip, higher damage, and a significantly faster firing rate than a normal .44 Magnum. It can also be concealed so long as one's Sneak skill is at least 50, making it an improved holdout weapon. Like most unique weapons, weapon modifications cannot be used on the Mysterious Magnum."
5,.45 Auto pistol,5,1, 1.5, 1750,"The .45 Auto pistol is a single-action, semi-automatic, magazine-fed handgun that utilizes .45 Auto ammunition. While the .45 AP improved sights modification was cut from the game, the sights are still present on the weapon's default model (pre- and post-modified versions). This gives the .45 Auto pistol luminescent sights, and as such, it is very effective in caves and dark areas."
6,A Light Shining in Darkness,5,1, 1.2, 4500,"A unique variant of the .45 Auto pistol with a much shorter barrel, it features a custom skeletonized hammer and trigger; commander length slide and a snake-skin grip, along with the etched Greek text ""καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει (kaì tò phõs én tẽ skotía phaínei)"" on the right side and ""καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν (kaì é skotía aútò oú katélaben)"" on the left side, which translates as ""And the light shineth in darkness and the darkness comprehended it not.""[1] It also has ""trench"" sights (a groove running along the top of the pistol which the player aims down), rather than having a rear notch and a front post."
7,5.56mm pistol,9,1, 5, 1200,"The 5.56mm pistol is the base variant of That Gun. When compared to That Gun, it is cleaner, has a more intact black finish, two small red LEDs on the side, and a large pale green LED on the back. Just like That Gun, the 5.56mm pistol is a heavily modified, pared down .223 pistol, successor to the same weapon from Fallout and Fallout 2. It weighs a hefty 5 pounds and has a motorized cylinder and crane for quicker shooting and reloading than a typical revolver. The green light on the left side turns yellow while reloading, then turns green and makes a ringing noise once the weapon has reloaded. The two variants of this weapon share the capability to use dedicated armor piercing rounds, a trait which is unique among pistols."
8,That Gun,9,1, 5, 1750,"That Gun is a heavily modified, pared down .223 pistol, successor to the same weapon from Fallout and Fallout 2. It weighs a hefty 5 pounds and has a motorized cylinder and crane for quicker shooting and reloading than a typical revolver. The green light on the left side turns yellow while reloading, then turns green and makes a ringing noise once the weapon has reloaded. Until the advent of the add-on Gun Runners' Arsenal, it had the unique capability of using dedicated armor piercing rounds, something that no other pistol in the game was capable of. That Gun is also the least expensive named rare gun that is available for purchase in Fallout: New Vegas."
9,9mm pistol,10,1, 1.5, 100,"The M&A 9mm pistol is one of the most common guns to be found early on in the game. It is very cheap to buy, utilizes very common ammunition, has no guns skill requirement, and has a very low Strength requirement in order to be handled effectively. It has three-dot luminescent front and rear iron-sights for better low-light fighting, and a minor idle sway."
10,Maria,10,1, 1.5, 1000,"A custom model of an M&A 9mm pistol made by M&A Guns Manufacturers, this weapon has an image of Our Lady of Guadalupe, a well known Catholic figure and a representation of the biblical Woman of the Apocalypse, painted on the pearl grips of the firearm. The entire body of the pistol is damascened with ivy and floral details, with a polished nickel finish and a golden trigger. It, along with Chance's knife, was responsible for a great number of Fiend deaths in the graphic novel All Roads. It is also the gun used by Benny to shoot the Courier in the Fallout: New Vegas introduction cinematic, and as such is owned by him."
